39.30	11.19	439.84	853315
39.60	11.21	443.84	853343
39.40	11.34	446.79	853371
39.30	11.15	438.11	853399
39.90	11.28	450.07	853427
39.20	11.31	443.43	853455
39.40	11.16	439.86	853483
39.90	11.33	452.15	853512
39.20	11.25	440.92	853539
39.80	11.23	446.87	853568
39.80	11.34	451.33	853596
39.00	11.18	436.02	853623
40.00	11.30	452.00	853652
37.60	11.35	426.83	853680
38.70	11.18	432.51	853708
38.80	11.37	441.07	853736
28.40	11.50	326.57	853765
21.00	11.65	244.57	853792
16.20	11.85	191.96	853820
13.30	11.79	156.85	853849
12.50	11.87	148.32	853876
12.60	11.89	149.80	853905
12.40	11.81	146.39	853933
12.40	11.91	147.63	853961
12.60	11.85	149.25	853989
12.50	11.83	147.87	854017
11.80	11.93	140.81	854045
11.70	11.82	138.31	854073
10.40	11.90	123.77	854102
10.10	11.96	120.85	854129
8.80	11.88	104.52	854156
7.70	11.96	92.07	854182
6.80	12.00	81.60	854208
5.70	12.03	68.59	854235
5.20	12.03	62.55	854260
4.40	12.01	52.85	854286
4.00	11.99	47.97	854312
3.60	11.97	43.09	854338
3.10	11.98	37.15	854365
3.00	12.01	36.03	854390
3.00	12.08	36.23	854416
3.00	12.08	36.25	854443
2.90	12.08	35.03	854468
2.60	12.06	31.37	854495
2.90	12.00	34.79	854520
2.60	11.98	31.15	854546
2.90	11.98	34.74	854573
2.90	12.03	34.89	854598
2.60	12.06	31.36	854624
3.00	12.08	36.24	854650
3.00	12.07	36.20	854676
2.60	12.04	31.32	854703
2.90	12.02	34.85	854728
2.60	11.99	31.18	854754
2.40	11.99	28.77	854780
2.00	12.01	24.02	854806
2.20	12.04	26.49	854833
2.10	12.09	25.39	854858
2.10	12.09	25.39	854884
1.90	12.08	22.95	854910
1.90	12.01	22.82	854936
1.80	12.00	21.59	854963
1.90	12.00	22.79	854988
1.60	12.01	19.21	855014
1.80	12.07	21.72	855041
1.60	12.09	19.34	855066
